Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00006","AANAT","None","aralkylamine N-acetyltransferase","Serotonin N-acetyltransferase","ENSG00000129673","Q16613","0.0397096","0.0812495","1.0","By_ingredient","0.2031"
"SMTT00050","ACE2","None","angiotensin I converting enzyme 2","Angiotensin-converting Enzyme 2","ENSG00000130234","Q9BYF1","0.0353758","0.0768127","1.0","By_ingredient","0.2019"
"SMTT00052","ACO2","22","Aconitase 2","Aconitate Hydratase, Mitochondrial","ENSG00000100412","Q99798","0.0266499","0.0686308","1.0","By_ingredient","0.207"
"SMTT00057","ACSF3","16","Acyl-CoA Synthetase Family Member 3","None","ENSG00000176715","None","0.00896273","0.0454633","1.0","By_ingredient","0.2244"
"SMTT00069","ACVR1","2","Activin A Receptor Type 1","Activin Receptor Type-1","ENSG00000115170","Q04771","0.0134142","0.0525072","1.0","By_ingredient","0.213"
"SMTT00076","ADAM17","2","ADAM Metallopeptidase Domain 17","Disintegrin And Metalloproteinase Domain-containing Protein 17","ENSG00000151694","P78536","0.0483194","0.0894056","1.0","By_ingredient","0.1856"
"SMTT00098","ADK","10","Adenosine Kinase","Adenosine Kinase","ENSG00000156110","P55263","0.0483194","0.0894056","1.0","By_ingredient","0.1834"
"SMTT00108","ADSL","22","Adenylosuccinate Lyase","None","ENSG00000239900","None","0.0134142","0.0525072","1.0","By_ingredient","0.2301"
"SMTT00114","AGBL1","15","ATP/GTP Binding Protein Like 1","None","ENSG00000273540","None","0.0353758","0.0768127","1.0","By_ingredient","0.2148"
"SMTT00115","AGBL5","2","ATP/GTP Binding Protein Like 5","None","ENSG00000084693","None","0.0353758","0.0768127","1.0","By_ingredient","0.2142"
"SMTT00157","ALDH5A1","6","Aldehyde Dehydrogenase 5 Family Member A1","Succinate-semialdehyde Dehydrogenase, Mitochondrial","ENSG00000112294","P51649","0.0483194","0.0894056","1.0","By_ingredient","0.2254"
"SMTT00187","AMH","19","Anti-Mullerian Hormone","None","ENSG00000104899","None","0.00896273","0.0454633","1.0","By_ingredient","0.2114"
"SMTT00194","AMY2A","None","amylase, alpha 2A (pancreatic)","Pancreatic Alpha-amylase","ENSG00000243480","P04746","0.0182002","0.0589818","1.0","By_ingredient","0.3987"
"SMTT00195","ANG","14","Angiogenin","Angiogenin","ENSG00000214274","P03950","0.0266499","0.0686308","1.0","By_ingredient","0.2122"
"SMTT00239","APRT","16","Adenine Phosphoribosyltransferase","Adenine Phosphoribosyltransferase","ENSG00000198931","P07741","0.0310226","0.0728583","1.0","By_ingredient","0.2245"
"SMTT00250","ARHGDIA","17","Rho GDP Dissociation Inhibitor Alpha","None","ENSG00000141522","None","0.0440241","0.085484","1.0","By_ingredient","0.1902"
"SMTT00302","ATP6V1B1","2","ATPase H+ Transporting V1 Subunit B1","None","ENSG00000116039","None","0.00896273","0.0454633","1.0","By_ingredient","0.2436"
"SMTT00303","ATP6V1B2","8","ATPase H+ Transporting V1 Subunit B2","V-type Proton ATPase Subunit B, Brain Isoform","ENSG00000147416","P21281","0.00896273","0.0454633","1.0","By_ingredient","0.188"
"SMTT00304","ATP7A","X","ATPase Copper Transporting Alpha","None","ENSG00000165240","None","0.0134142","0.0525072","1.0","By_ingredient","0.1924"
"SMTT00305","ATP7B","13","ATPase Copper Transporting Beta","None","ENSG00000123191","None","0.0178458","0.0585289","1.0","By_ingredient","0.1837"
"SMTT00326","AXIN1","16","Axin 1","Axin-1","ENSG00000103126","O15169","0.0266499","0.0686308","1.0","By_ingredient","0.2048"
"SMTT00327","AXIN2","17","Axin 2","None","ENSG00000168646","None","0.0222577","0.0642337","1.0","By_ingredient","0.1873"
"SMTT00375","BGN","X","Biglycan","None","ENSG00000182492","None","0.0397096","0.0812495","1.0","By_ingredient","0.1931"
"SMTT00388","BMP15","X","Bone Morphogenetic Protein 15","None","ENSG00000130385","None","0.00449136","0.0346634","1.0","By_ingredient","0.2357"
"SMTT00404","BRIP1","17","BRCA1 Interacting Protein C-terminal Helicase 1","None","ENSG00000136492","None","0.0134142","0.0525072","1.0","By_ingredient","0.2077"
"SMTT00456","CAD","2","Carbamoyl-phosphate Synthetase 2, Aspartate Transcarbamylase, And Dihydroorotase","CAD Protein","ENSG00000084774","P27708","0.0483194","0.0894056","1.0","By_ingredient","0.1969"
"SMTT00551","CD79B","17","CD79b Molecule","None","ENSG00000007312","None","0.00896273","0.0454633","1.0","By_ingredient","0.2094"
"SMTT00675","CLEC7A","12","C-type Lectin Domain Containing 7A","None","ENSG00000172243","None","0.0397096","0.0812495","1.0","By_ingredient","0.1962"
"SMTT00769","CP","3","Ceruloplasmin","Ceruloplasmin","ENSG00000047457","P00450","0.0483194","0.0894056","1.0","By_ingredient","0.1922"
"SMTT00770","CPA1","7","Carboxypeptidase A1","Carboxypeptidase A1","ENSG00000091704","P15085","0.0483194","0.0894056","1.0","By_ingredient","0.2048"
"SMTT00771","CPA6","8","Carboxypeptidase A6","None","ENSG00000165078","None","0.0353758","0.0768127","1.0","By_ingredient","0.2307"
"SMTT00775","CPOX","3","Coproporphyrinogen Oxidase","None","ENSG00000080819","None","0.0134142","0.0525072","1.0","By_ingredient","0.2001"
"SMTT00808","CRYM","16","Crystallin Mu","Ketimine Reductase Mu-crystallin","ENSG00000103316","Q14894","0.0134142","0.0525072","1.0","By_ingredient","0.2223"
"SMTT00821","CTBP1","4","C-terminal Binding Protein 1","C-terminal-binding Protein 1","ENSG00000159692","Q13363","0.000879081","0.0146331","1.0","By_ingredient","0.4054"
"SMTT00910","DCLRE1C","10","DNA Cross-link Repair 1C","None","ENSG00000152457","None","0.00449136","0.0346634","1.0","By_ingredient","0.2212"
"SMTT00920","DDIT3","12","DNA Damage Inducible Transcript 3","None","ENSG00000175197","None","0.016018","0.0567038","1.0","By_ingredient","0.3859"
"SMTT00951","DIP2B","12","Disco Interacting Protein 2 Homolog B","None","ENSG00000066084","None","0.00896273","0.0454633","1.0","By_ingredient","0.2208"
"SMTT00988","DNAJC19","3","DnaJ Heat Shock Protein Family (Hsp40) Member C19","None","ENSG00000205981","None","0.0178458","0.0585289","1.0","By_ingredient","0.2083"
"SMTT01009","DPM1","20","Dolichyl-phosphate Mannosyltransferase Subunit 1, Catalytic","None","ENSG00000000419","None","0.00896273","0.0454633","1.0","By_ingredient","0.1944"
"SMTT01015","DPYS","8","Dihydropyrimidinase","None","ENSG00000147647","None","0.0178458","0.0585289","1.0","By_ingredient","0.214"
"SMTT01048","ECE1","1","Endothelin Converting Enzyme 1","Endothelin-converting Enzyme 1","ENSG00000117298","P42892","0.0440241","0.085484","1.0","By_ingredient","0.1999"
"SMTT01049","ECEL1","2","Endothelin Converting Enzyme Like 1","None","ENSG00000171551","None","0.00449136","0.0346634","1.0","By_ingredient","0.21"
"SMTT01102","ENO3","17","Enolase 3","Beta-enolase","ENSG00000108515","P13929","0.0222577","0.0642337","1.0","By_ingredient","0.2058"
"SMTT01119","EPM2A","6","EPM2A, Laforin Glucan Phosphatase","None","ENSG00000112425","None","0.0222577","0.0642337","1.0","By_ingredient","0.2061"
"SMTT01128","ERCC2","19","ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit","None","ENSG00000104884","None","0.0397096","0.0812495","1.0","By_ingredient","0.2087"
"SMTT01196","FANCL","2","Fanconi Anemia Complementation Group L","None","ENSG00000115392","None","0.0178458","0.0585289","1.0","By_ingredient","0.223"
"SMTT01209","FBP1","9","Fructose-bisphosphatase 1","Fructose-1,6-bisphosphatase 1","ENSG00000165140","P09467","0.0310226","0.0728583","1.0","By_ingredient","0.1761"
"SMTT01214","FCER1A","None","Fc fragment of IgE receptor Ia","High Affinity Immunoglobulin Epsilon Receptor Subunit Alpha","ENSG00000179639","P12319","0.0222577","0.0642337","1.0","By_ingredient","0.1938"
"SMTT01219","FDPS","1","Farnesyl Diphosphate Synthase","Farnesyl Pyrophosphate Synthase","ENSG00000160752","P14324","0.0397096","0.0812495","1.0","By_ingredient","0.2172"
