Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Inferred evidence score
"SMTT06256","EGFLAM","None","EGF like, fibronectin type III and laminin G domains","None","ENSG00000164318","None","0.00049904","0.009989","1.0","By_ingredient","0.266"
"SMTT06335","ENO1","None","enolase 1","None","ENSG00000074800","None","0.00845249","0.0444644","1.0","By_ingredient","0.1879"
"SMTT06336","ENO2","None","enolase 2","None","ENSG00000111674","None","0.00448309","0.0346571","1.0","By_ingredient","0.1976"
"SMTT06337","ENO4","None","enolase 4","None","ENSG00000188316","None","0.000997851","0.015591","1.0","By_ingredient","0.2623"
"SMTT06339","ENOSF1","None","enolase superfamily member 1","None","ENSG00000132199","None","0.00696568","0.041413","1.0","By_ingredient","0.2311"
"SMTT06342","ENPP4","None","ectonucleotide pyrophosphatase/phosphodiesterase 4","None","ENSG00000001561","None","0.00149643","0.0199814","1.0","By_ingredient","0.2251"
"SMTT06399","ERP27","None","endoplasmic reticulum protein 27","None","ENSG00000139055","None","0.00398589","0.032859","1.0","By_ingredient","0.2236"
"SMTT06401","ERP44","None","endoplasmic reticulum protein 44","None","ENSG00000023318","None","0.0029908","0.0293845","1.0","By_ingredient","0.2496"
"SMTT06541","FBP2","None","fructose-bisphosphatase 2","None","ENSG00000130957","None","0.000997851","0.015591","1.0","By_ingredient","0.2309"
"SMTT06576","FDX1","None","ferredoxin 1","None","ENSG00000137714","None","0.000997851","0.015591","1.0","By_ingredient","0.2422"
"SMTT06620","FKBP1B","None","FK506 binding protein 1B","None","ENSG00000119782","None","0.00199478","0.0233139","1.0","By_ingredient","0.1943"
"SMTT06687","FST","None","follistatin","None","ENSG00000134363","None","0.00398589","0.032859","1.0","By_ingredient","0.1889"
"SMTT06693","FURIN","None","furin, paired basic amino acid cleaving enzyme","None","ENSG00000140564","None","0.00348846","0.0315771","1.0","By_ingredient","0.2118"
"SMTT06746","GALM","None","galactose mutarotase","None","ENSG00000143891","None","0.00448309","0.0346571","1.0","By_ingredient","0.212"
"SMTT06771","GART","None","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase","None","ENSG00000159131","None","0.00348846","0.0315771","1.0","By_ingredient","0.2105"
"SMTT06781","GBF1","None","golgi brefeldin A resistant guanine nucleotide exchange factor 1","None","ENSG00000107862","None","0.00149643","0.0199814","1.0","By_ingredient","0.2507"
"SMTT06799","GDE1","None","glycerophosphodiester phosphodiesterase 1","None","ENSG00000006007","None","0.00149643","0.0199814","1.0","By_ingredient","0.222"
"SMTT06801","GDF11","None","growth differentiation factor 11","None","ENSG00000135414","None","0.000997851","0.015591","1.0","By_ingredient","0.2708"
"SMTT06802","GDF15","None","growth differentiation factor 15","None","ENSG00000130513","None","0.0124073","0.0510354","1.0","By_ingredient","0.1958"
"SMTT06803","GDF7","None","growth differentiation factor 7","None","ENSG00000143869","None","0.00049904","0.009989","1.0","By_ingredient","0.2516"
"SMTT06804","GDF9","None","growth differentiation factor 9","None","ENSG00000164404","None","0.00049904","0.009989","1.0","By_ingredient","0.257"
"SMTT06805","GDPD1","None","glycerophosphodiester phosphodiesterase domain containing 1","None","ENSG00000153982","None","0.000997851","0.015591","1.0","By_ingredient","0.2358"
"SMTT06806","GDPD2","None","glycerophosphodiester phosphodiesterase domain containing 2","None","ENSG00000130055","None","0.000997851","0.015591","1.0","By_ingredient","0.2408"
"SMTT06807","GDPD3","None","glycerophosphodiester phosphodiesterase domain containing 3","None","ENSG00000102886","None","0.00199478","0.0233139","1.0","By_ingredient","0.1965"
"SMTT06808","GDPD4","None","glycerophosphodiester phosphodiesterase domain containing 4","None","ENSG00000178795","None","0.000997851","0.015591","1.0","By_ingredient","0.2445"
"SMTT06819","GFPT2","None","glutamine-fructose-6-phosphate transaminase 2","None","ENSG00000131459","None","0.000997851","0.015591","1.0","By_ingredient","0.2159"
"SMTT06823","GFUS","None","None","None","None","None","0.00547682","0.0378448","1.0","By_ingredient","0.2241"
"SMTT06828","GGPS1","None","geranylgeranyl diphosphate synthase 1","None","ENSG00000152904","None","0.00398589","0.032859","1.0","By_ingredient","0.2224"
"SMTT06890","GMPS","None","guanine monophosphate synthase","None","ENSG00000163655","None","0.000997851","0.015591","1.0","By_ingredient","0.2288"
"SMTT06912","GNPDA1","None","glucosamine-6-phosphate deaminase 1","None","ENSG00000113552","None","0.00448309","0.0346571","1.0","By_ingredient","0.2234"
"SMTT06913","GNPDA2","None","glucosamine-6-phosphate deaminase 2","None","ENSG00000163281","None","0.00149643","0.0199814","1.0","By_ingredient","0.243"
"SMTT06914","GNPNAT1","None","glucosamine-phosphate N-acetyltransferase 1","None","ENSG00000100522","None","0.00199478","0.0233139","1.0","By_ingredient","0.234"
"SMTT06927","GOT2","None","glutamic-oxaloacetic transaminase 2","None","ENSG00000125166","None","0.0232079","0.0650115","1.0","By_ingredient","0.1828"
"SMTT06941","GPCPD1","None","glycerophosphocholine phosphodiesterase 1","None","ENSG00000125772","None","0.0029908","0.0293845","1.0","By_ingredient","0.2291"
"SMTT07010","GREM1","None","gremlin 1, DAN family BMP antagonist","None","ENSG00000166923","None","0.0029908","0.0293845","1.0","By_ingredient","0.2221"
"SMTT07011","GREM2","None","gremlin 2, DAN family BMP antagonist","None","ENSG00000180875","None","0.00149643","0.0199814","1.0","By_ingredient","0.2407"
"SMTT07053","GSTT2","None","glutathione S-transferase theta 2 (gene/pseudogene)","None","ENSG00000099984","None","0.0024929","0.0264257","1.0","By_ingredient","0.2416"
"SMTT07054","GSTT2B","None","glutathione S-transferase theta 2B (gene/pseudogene)","None","ENSG00000133433","None","0.00199478","0.0233139","1.0","By_ingredient","0.2519"
"SMTT07055","GSTZ1","None","glutathione S-transferase zeta 1","None","ENSG00000100577","None","0.00498007","0.0360733","1.0","By_ingredient","0.2409"
"SMTT07149","HDHD2","None","haloacid dehalogenase like hydrolase domain containing 2","None","ENSG00000167220","None","0.000997851","0.015591","1.0","By_ingredient","0.2313"
"SMTT07151","HDHD5","None","haloacid dehalogenase like hydrolase domain containing 5","None","ENSG00000069998","None","0.000997851","0.015591","1.0","By_ingredient","0.2717"
"SMTT07165","HEPH","None","hephaestin","None","ENSG00000089472","None","0.00348846","0.0315771","1.0","By_ingredient","0.2355"
"SMTT07166","HEPHL1","None","hephaestin like 1","None","ENSG00000181333","None","0.0029908","0.0293845","1.0","By_ingredient","0.2254"
"SMTT07181","HGS","None","hepatocyte growth factor-regulated tyrosine kinase substrate","None","ENSG00000185359","None","0.000997851","0.015591","1.0","By_ingredient","0.2489"
"SMTT07222","HMGCLL1","None","3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1","None","ENSG00000146151","None","0.0024929","0.0264257","1.0","By_ingredient","0.2394"
"SMTT07246","HOMER1","None","homer scaffold protein 1","None","ENSG00000152413","None","0.0024929","0.0264257","1.0","By_ingredient","0.2073"
"SMTT07247","HOMER2","None","homer scaffold protein 2","None","ENSG00000103942","None","0.00149643","0.0199814","1.0","By_ingredient","0.2241"
"SMTT07279","HSD11B1L","None","hydroxysteroid 11-beta dehydrogenase 1 like","None","ENSG00000167733","None","0.00746151","0.0425888","1.0","By_ingredient","0.2013"
"SMTT07280","HSD17B1","None","hydroxysteroid 17-beta dehydrogenase 1","None","ENSG00000108786","None","0.0114199","0.0500184","1.0","By_ingredient","0.2019"
"SMTT07281","HSD17B11","None","hydroxysteroid 17-beta dehydrogenase 11","None","ENSG00000198189","None","0.00795711","0.0435365","1.0","By_ingredient","0.1983"
"SMTT07283","HSD17B14","None","hydroxysteroid 17-beta dehydrogenase 14","None","ENSG00000087076","None","0.00746151","0.0425888","1.0","By_ingredient","0.1977"
"SMTT07286","HSD17B8","None","hydroxysteroid 17-beta dehydrogenase 8","None","ENSG00000204228","None","0.0129006","0.051746","1.0","By_ingredient","0.1988"
"SMTT07287","HSDL2","None","hydroxysteroid dehydrogenase like 2","None","ENSG00000119471","None","0.00696568","0.041413","1.0","By_ingredient","0.1969"
"SMTT07339","IDH3A","None","isocitrate dehydrogenase 3 (NAD(+)) alpha","None","ENSG00000166411","None","0.00149643","0.0199814","1.0","By_ingredient","0.2126"
"SMTT07340","IDH3G","None","isocitrate dehydrogenase 3 (NAD(+)) gamma","None","ENSG00000067829","None","0.0029908","0.0293845","1.0","By_ingredient","0.2126"
"SMTT07348","IFFO2","None","intermediate filament family orphan 2","None","ENSG00000169991","None","0.00348846","0.0315771","1.0","By_ingredient","0.2205"
"SMTT07389","IGFN1","None","immunoglobulin-like and fibronectin type III domain containing 1","None","ENSG00000163395","None","0.00049904","0.009989","1.0","By_ingredient","0.2476"
"SMTT07392","IGSF22","None","immunoglobulin superfamily member 22","None","ENSG00000179057","None","0.00049904","0.009989","1.0","By_ingredient","0.2629"
"SMTT07427","IL4I1","None","interleukin 4 induced 1","None","ENSG00000104951","None","0.00498007","0.0360733","1.0","By_ingredient","0.2279"
"SMTT07446","IMPDH2","None","inosine monophosphate dehydrogenase 2","None","ENSG00000178035","None","0.00348846","0.0315771","1.0","By_ingredient","0.2209"
"SMTT07453","INHA","None","inhibin alpha subunit","None","ENSG00000123999","None","0.00199478","0.0233139","1.0","By_ingredient","0.2494"
"SMTT07454","INHBA","None","inhibin beta A subunit","None","ENSG00000122641","None","0.00149643","0.0199814","1.0","By_ingredient","0.2029"
"SMTT07455","INHBB","None","inhibin beta B subunit","None","ENSG00000163083","None","0.000997851","0.015591","1.0","By_ingredient","0.2378"
