Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Inferred evidence score
"SMTT08922","PAPOLA","None","poly(A) polymerase alpha","None","ENSG00000090060","None","0.00199478","0.0233139","1.0","By_ingredient","0.2261"
"SMTT08923","PAPOLB","None","poly(A) polymerase beta","None","ENSG00000218823","None","0.000997851","0.015591","1.0","By_ingredient","0.2387"
"SMTT08924","PAPOLG","None","poly(A) polymerase gamma","None","ENSG00000115421","None","0.000997851","0.015591","1.0","By_ingredient","0.2586"
"SMTT08925","PAPSS1","None","3'-phosphoadenosine 5'-phosphosulfate synthase 1","None","ENSG00000138801","None","0.000997851","0.015591","1.0","By_ingredient","0.2199"
"SMTT08937","PARP12","None","poly(ADP-ribose) polymerase family member 12","None","ENSG00000059378","None","0.00149643","0.0199814","1.0","By_ingredient","0.2431"
"SMTT09026","PCSK4","None","proprotein convertase subtilisin/kexin type 4","None","ENSG00000115257","None","0.0029908","0.0293845","1.0","By_ingredient","0.2141"
"SMTT09027","PCSK5","None","proprotein convertase subtilisin/kexin type 5","None","ENSG00000099139","None","0.00348846","0.0315771","1.0","By_ingredient","0.2406"
"SMTT09028","PCSK7","None","proprotein convertase subtilisin/kexin type 7","None","ENSG00000160613","None","0.00498007","0.0360733","1.0","By_ingredient","0.2163"
"SMTT09049","PDE5A","None","phosphodiesterase 5A","None","ENSG00000138735","None","0.00993724","0.0473779","1.0","By_ingredient","0.2177"
"SMTT09054","PDF","None","peptide deformylase, mitochondrial","None","ENSG00000258429","None","0.0029908","0.0293845","1.0","By_ingredient","0.2175"
"SMTT09056","PDIA2","None","protein disulfide isomerase family A member 2","None","ENSG00000185615","None","0.0029908","0.0293845","1.0","By_ingredient","0.2343"
"SMTT09057","PDIA3","None","protein disulfide isomerase family A member 3","None","ENSG00000167004","None","0.00498007","0.0360733","1.0","By_ingredient","0.2172"
"SMTT09058","PDIA4","None","protein disulfide isomerase family A member 4","None","ENSG00000155660","None","0.00348846","0.0315771","1.0","By_ingredient","0.2325"
"SMTT09059","PDIA5","None","protein disulfide isomerase family A member 5","None","ENSG00000065485","None","0.0029908","0.0293845","1.0","By_ingredient","0.2215"
"SMTT09060","PDIA6","None","protein disulfide isomerase family A member 6","None","ENSG00000143870","None","0.00348846","0.0315771","1.0","By_ingredient","0.233"
"SMTT09062","PDILT","None","protein disulfide isomerase like, testis expressed","None","ENSG00000169340","None","0.0029908","0.0293845","1.0","By_ingredient","0.2282"
"SMTT09080","PDXP","None","pyridoxal phosphatase","None","ENSG00000241360","None","0.0029908","0.0293845","1.0","By_ingredient","0.2415"
"SMTT09089","PECR","None","peroxisomal trans-2-enoyl-CoA reductase","None","ENSG00000115425","None","0.00795711","0.0435365","1.0","By_ingredient","0.1864"
"SMTT09114","PGAM1","None","phosphoglycerate mutase 1","None","ENSG00000171314","None","0.0029908","0.0293845","1.0","By_ingredient","0.2124"
"SMTT09123","PGLS","None","6-phosphogluconolactonase","None","ENSG00000130313","None","0.00199478","0.0233139","1.0","By_ingredient","0.2327"
"SMTT09189","PILRA","None","paired immunoglobin like type 2 receptor alpha","None","ENSG00000085514","None","0.00049904","0.009989","1.0","By_ingredient","0.2185"
"SMTT09192","PIN1","None","peptidylprolyl cis/trans isomerase, NIMA-interacting 1","None","ENSG00000127445","None","0.00398589","0.032859","1.0","By_ingredient","0.2146"
"SMTT09207","PKM","None","pyruvate kinase M1/2","None","ENSG00000067225","None","0.00023501","0.00598793","1.0","By_ingredient","0.3839"
"SMTT09242","PLEKHA1","None","pleckstrin homology domain containing A1","None","ENSG00000107679","None","0.00199478","0.0233139","1.0","By_ingredient","0.2267"
"SMTT09288","PMM1","None","phosphomannomutase 1","None","ENSG00000100417","None","0.00199478","0.0233139","1.0","By_ingredient","0.2174"
"SMTT09289","PMP2","None","peripheral myelin protein 2","None","ENSG00000147588","None","0.00547682","0.0378448","1.0","By_ingredient","0.2016"
"SMTT09366","PPEF1","None","protein phosphatase with EF-hand domain 1","None","ENSG00000086717","None","0.00149643","0.0199814","1.0","By_ingredient","0.2406"
"SMTT09367","PPEF2","None","protein phosphatase with EF-hand domain 2","None","ENSG00000156194","None","0.00149643","0.0199814","1.0","By_ingredient","0.2183"
"SMTT09378","PPIF","None","peptidylprolyl isomerase F","None","ENSG00000108179","None","0.00845249","0.0444644","1.0","By_ingredient","0.2036"
"SMTT09386","PPM1A","None","protein phosphatase, Mg2+/Mn2+ dependent 1A","None","ENSG00000100614","None","0.00199478","0.0233139","1.0","By_ingredient","0.2276"
"SMTT09418","PPP2CA","None","protein phosphatase 2 catalytic subunit alpha","None","ENSG00000113575","None","0.00448309","0.0346571","1.0","By_ingredient","0.2232"
"SMTT09419","PPP2CB","None","protein phosphatase 2 catalytic subunit beta","None","ENSG00000104695","None","0.00348846","0.0315771","1.0","By_ingredient","0.2309"
"SMTT09426","PPP3CB","None","protein phosphatase 3 catalytic subunit beta","None","ENSG00000107758","None","0.00149643","0.0199814","1.0","By_ingredient","0.2092"
"SMTT09427","PPP3CC","None","protein phosphatase 3 catalytic subunit gamma","None","ENSG00000120910","None","0.00149643","0.0199814","1.0","By_ingredient","0.2176"
"SMTT09430","PPP4C","None","protein phosphatase 4 catalytic subunit","None","ENSG00000149923","None","0.0029908","0.0293845","1.0","By_ingredient","0.2114"
"SMTT09432","PPP5D1","None","PPP5 tetratricopeptide repeat domain containing 1","None","ENSG00000230510","None","0.00149643","0.0199814","1.0","By_ingredient","0.2219"
"SMTT09450","PRDX1","None","peroxiredoxin 1","None","ENSG00000117450","None","0.0029908","0.0293845","1.0","By_ingredient","0.2142"
"SMTT09451","PRDX2","None","peroxiredoxin 2","None","ENSG00000167815","None","0.00795711","0.0435365","1.0","By_ingredient","0.2179"
"SMTT09452","PRDX3","None","peroxiredoxin 3","None","ENSG00000165672","None","0.0024929","0.0264257","1.0","By_ingredient","0.234"
"SMTT09453","PRDX6","None","peroxiredoxin 6","None","ENSG00000117592","None","0.00894763","0.0454633","1.0","By_ingredient","0.2102"
"SMTT09457","PRG2","None","proteoglycan 2, pro eosinophil major basic protein","None","ENSG00000186652","None","0.0029908","0.0293845","1.0","By_ingredient","0.2197"
"SMTT09458","PRG3","None","proteoglycan 3, pro eosinophil major basic protein 2","None","ENSG00000156575","None","0.0029908","0.0293845","1.0","By_ingredient","0.2257"
"SMTT09460","PRIM1","None","DNA primase subunit 1","None","ENSG00000198056","None","0.0024929","0.0264257","1.0","By_ingredient","0.2157"
"SMTT09461","PRKAA1","None","protein kinase AMP-activated catalytic subunit alpha 1","None","ENSG00000132356","None","0.0148716","0.0551503","1.0","By_ingredient","0.2215"
"SMTT09462","PRKAA2","None","protein kinase AMP-activated catalytic subunit alpha 2","None","ENSG00000162409","None","0.0153638","0.0559095","1.0","By_ingredient","0.2141"
"SMTT09463","PRKAB1","None","protein kinase AMP-activated non-catalytic subunit beta 1","None","ENSG00000111725","None","0.0138865","0.0533141","1.0","By_ingredient","0.2193"
"SMTT09464","PRKAB2","None","protein kinase AMP-activated non-catalytic subunit beta 2","None","ENSG00000131791","None","0.00199478","0.0233139","1.0","By_ingredient","0.2257"
"SMTT09466","PRKAG1","None","protein kinase AMP-activated non-catalytic subunit gamma 1","None","ENSG00000181929","None","0.0029908","0.0293845","1.0","By_ingredient","0.2315"
"SMTT09467","PRKAG3","None","protein kinase AMP-activated non-catalytic subunit gamma 3","None","ENSG00000115592","None","0.0029908","0.0293845","1.0","By_ingredient","0.2287"
"SMTT09486","PRMT7","None","protein arginine methyltransferase 7","None","ENSG00000132600","None","0.00199478","0.0233139","1.0","By_ingredient","0.2248"
"SMTT09488","PRODH2","None","proline dehydrogenase 2","None","ENSG00000250799","None","0.00348846","0.0315771","1.0","By_ingredient","0.2301"
"SMTT09493","PROZ","None","protein Z, vitamin K dependent plasma glycoprotein","None","ENSG00000126231","None","0.0363143","0.0779393","1.0","By_ingredient","0.2122"
"SMTT09518","PRSS3","None","serine protease 3","None","ENSG00000010438","None","0.0149596","0.0553579","1.0","By_ingredient","0.3904"
"SMTT09617","PTPDC1","None","protein tyrosine phosphatase domain containing 1","None","ENSG00000158079","None","0.00149643","0.0199814","1.0","By_ingredient","0.2235"
"SMTT09629","PTPRD","None","protein tyrosine phosphatase, receptor type D","None","ENSG00000153707","None","0.0024929","0.0264257","1.0","By_ingredient","0.2211"
"SMTT09640","PUDP","None","pseudouridine 5'-phosphatase","None","ENSG00000130021","None","0.00199478","0.0233139","1.0","By_ingredient","0.2479"
"SMTT09641","PUM1","None","pumilio RNA binding family member 1","None","ENSG00000134644","None","0.00149643","0.0199814","1.0","By_ingredient","0.2323"
"SMTT09642","PUM2","None","pumilio RNA binding family member 2","None","ENSG00000055917","None","0.000997851","0.015591","1.0","By_ingredient","0.2451"
"SMTT09673","QSOX1","None","quiescin sulfhydryl oxidase 1","None","ENSG00000116260","None","0.00398589","0.032859","1.0","By_ingredient","0.2286"
"SMTT09738","RAD51B","None","RAD51 paralog B","None","ENSG00000182185","None","0.00348846","0.0315771","1.0","By_ingredient","0.1998"
"SMTT09739","RAD51D","None","RAD51 paralog D","None","ENSG00000185379","None","0.0029908","0.0293845","1.0","By_ingredient","0.208"
"SMTT09786","RASGRP1","None","RAS guanyl releasing protein 1","None","ENSG00000172575","None","0.00199478","0.0233139","1.0","By_ingredient","0.2191"
"SMTT09801","RBKS","None","ribokinase","None","ENSG00000171174","None","0.00646962","0.0399386","1.0","By_ingredient","0.2063"
"SMTT09807","RBM23","None","RNA binding motif protein 23","None","ENSG00000100461","None","0.00149643","0.0199814","1.0","By_ingredient","0.2226"
"SMTT09813","RBM39","None","RNA binding motif protein 39","None","ENSG00000131051","None","0.0024929","0.0264257","1.0","By_ingredient","0.2333"
"SMTT09836","RCL1","None","RNA terminal phosphate cyclase like 1","None","ENSG00000120158","None","0.000997851","0.015591","1.0","By_ingredient","0.2253"
"SMTT09840","RDH10","None","retinol dehydrogenase 10","None","ENSG00000121039","None","0.00746151","0.0425888","1.0","By_ingredient","0.2008"
"SMTT09841","RDH13","None","retinol dehydrogenase 13","None","ENSG00000160439","None","0.00845249","0.0444644","1.0","By_ingredient","0.197"
"SMTT09842","RDH14","None","retinol dehydrogenase 14","None","ENSG00000240857","None","0.00795711","0.0435365","1.0","By_ingredient","0.1939"
"SMTT09844","RDH8","None","retinol dehydrogenase 8","None","ENSG00000080511","None","0.00845249","0.0444644","1.0","By_ingredient","0.209"
"SMTT09849","REG1B","None","regenerating family member 1 beta","None","ENSG00000172023","None","0.0024929","0.0264257","1.0","By_ingredient","0.2347"
"SMTT09850","REG3A","None","regenerating family member 3 alpha","None","ENSG00000172016","None","0.0024929","0.0264257","1.0","By_ingredient","0.2433"
"SMTT09851","REG3G","None","regenerating family member 3 gamma","None","ENSG00000143954","None","0.0024929","0.0264257","1.0","By_ingredient","0.2478"
"SMTT09852","REG4","None","regenerating family member 4","None","ENSG00000134193","None","0.0024929","0.0264257","1.0","By_ingredient","0.2298"
"SMTT09867","REXO2","None","RNA exonuclease 2","None","ENSG00000076043","None","0.00049904","0.009989","1.0","By_ingredient","0.2391"
"SMTT09875","RFK","None","riboflavin kinase","None","ENSG00000135002","None","0.0029908","0.0293845","1.0","By_ingredient","0.2325"
"SMTT09896","RGS1","None","regulator of G protein signaling 1","None","ENSG00000090104","None","0.00448309","0.0346571","1.0","By_ingredient","0.2131"
"SMTT09897","RGS10","None","regulator of G protein signaling 10","None","ENSG00000148908","None","0.00199478","0.0233139","1.0","By_ingredient","0.2206"
"SMTT09898","RGS11","None","regulator of G protein signaling 11","None","ENSG00000076344","None","0.00149643","0.0199814","1.0","By_ingredient","0.2475"
"SMTT09899","RGS12","None","regulator of G protein signaling 12","None","ENSG00000159788","None","0.000997851","0.015591","1.0","By_ingredient","0.2407"
"SMTT09900","RGS13","None","regulator of G protein signaling 13","None","ENSG00000127074","None","0.000997851","0.015591","1.0","By_ingredient","0.2544"
"SMTT09901","RGS14","None","regulator of G protein signaling 14","None","ENSG00000169220","None","0.000997851","0.015591","1.0","By_ingredient","0.2433"
"SMTT09902","RGS16","None","regulator of G protein signaling 16","None","ENSG00000143333","None","0.0029908","0.0293845","1.0","By_ingredient","0.225"
"SMTT09903","RGS18","None","regulator of G protein signaling 18","None","ENSG00000150681","None","0.000997851","0.015591","1.0","By_ingredient","0.2388"
"SMTT09904","RGS19","None","regulator of G protein signaling 19","None","ENSG00000171700","None","0.00149643","0.0199814","1.0","By_ingredient","0.2261"
"SMTT09905","RGS20","None","regulator of G protein signaling 20","None","ENSG00000147509","None","0.00149643","0.0199814","1.0","By_ingredient","0.2278"
"SMTT09906","RGS21","None","regulator of G protein signaling 21","None","ENSG00000253148","None","0.000997851","0.015591","1.0","By_ingredient","0.2273"
"SMTT09907","RGS3","None","regulator of G protein signaling 3","None","ENSG00000138835","None","0.00149643","0.0199814","1.0","By_ingredient","0.2188"
"SMTT09908","RGS5","None","regulator of G protein signaling 5","None","ENSG00000143248","None","0.0024929","0.0264257","1.0","By_ingredient","0.2043"
"SMTT09909","RGS6","None","regulator of G protein signaling 6","None","ENSG00000182732","None","0.000997851","0.015591","1.0","By_ingredient","0.2745"
"SMTT09910","RGS7","None","regulator of G protein signaling 7","None","ENSG00000182901","None","0.00149643","0.0199814","1.0","By_ingredient","0.2423"
"SMTT09911","RGS8","None","regulator of G protein signaling 8","None","ENSG00000135824","None","0.000997851","0.015591","1.0","By_ingredient","0.2617"
"SMTT09941","RIDA","None","reactive intermediate imine deaminase A homolog","None","ENSG00000132541","None","0.00498007","0.0360733","1.0","By_ingredient","0.2202"
"SMTT09945","RIMKLA","None","ribosomal modification protein rimK like family member A","None","ENSG00000177181","None","0.00149643","0.0199814","1.0","By_ingredient","0.2519"
"SMTT09946","RIMKLB","None","ribosomal modification protein rimK like family member B","None","ENSG00000166532","None","0.000997851","0.015591","1.0","By_ingredient","0.239"
"SMTT09966","RNASE1","None","ribonuclease A family member 1, pancreatic","None","ENSG00000129538","None","0.00547682","0.0378448","1.0","By_ingredient","0.2246"
"SMTT10004","RNH1","None","ribonuclease/angiogenin inhibitor 1","None","ENSG00000023191","None","0.000997851","0.015591","1.0","By_ingredient","0.2356"
"SMTT10026","RPH3A","None","rabphilin 3A","None","ENSG00000089169","None","0.00149643","0.0199814","1.0","By_ingredient","0.228"
"SMTT10027","RPH3AL","None","rabphilin 3A like (without C2 domains)","None","ENSG00000181031","None","0.00199478","0.0233139","1.0","By_ingredient","0.2195"
"SMTT10059","RPL4","None","ribosomal protein L4","None","ENSG00000174444","None","0.00199478","0.0233139","1.0","By_ingredient","0.2353"
"SMTT10063","RPL7A","None","ribosomal protein L7a","None","ENSG00000148303","None","0.0024929","0.0264257","1.0","By_ingredient","0.224"
"SMTT10069","RPP38","None","ribonuclease P/MRP subunit p38","None","ENSG00000152464","None","0.0024929","0.0264257","1.0","By_ingredient","0.2188"
"SMTT10074","RPS12","None","ribosomal protein S12","None","ENSG00000112306","None","0.0029908","0.0293845","1.0","By_ingredient","0.2307"
"SMTT10086","RPS27A","None","ribosomal protein S27a","None","ENSG00000143947","None","0.00894763","0.0454633","1.0","By_ingredient","0.2029"
"SMTT10110","RRM2","None","ribonucleotide reductase regulatory subunit M2","None","ENSG00000171848","None","0.00795711","0.0435365","1.0","By_ingredient","0.215"
"SMTT10126","RSPO3","None","R-spondin 3","None","ENSG00000146374","None","0.0029908","0.0293845","1.0","By_ingredient","0.2027"
"SMTT10127","RSRC1","None","arginine and serine rich coiled-coil 1","None","ENSG00000174891","None","0.0024929","0.0264257","1.0","By_ingredient","0.2227"
"SMTT10130","RTCA","None","RNA 3'-terminal phosphate cyclase","None","ENSG00000137996","None","0.00348846","0.0315771","1.0","By_ingredient","0.2306"
"SMTT10132","RTEL1-TNFRSF6B","None","RTEL1-TNFRSF6B readthrough (NMD candidate)","None","ENSG00000026036","None","0.000997851","0.015591","1.0","By_ingredient","0.2585"
"SMTT10151","RUSC1","None","RUN and SH3 domain containing 1","None","ENSG00000160753","None","0.0024929","0.0264257","1.0","By_ingredient","0.2203"
"SMTT10168","S100A12","None","S100 calcium binding protein A12","None","ENSG00000163221","None","0.00049904","0.009989","1.0","By_ingredient","0.2443"
"SMTT10177","S100A8","None","S100 calcium binding protein A8","None","ENSG00000143546","None","0.0024929","0.0264257","1.0","By_ingredient","0.2217"
"SMTT10178","S100A9","None","S100 calcium binding protein A9","None","ENSG00000163220","None","0.00199478","0.0233139","1.0","By_ingredient","0.2152"
"SMTT10189","SAE1","None","SUMO1 activating enzyme subunit 1","None","ENSG00000142230","None","0.0024929","0.0264257","1.0","By_ingredient","0.2438"
"SMTT10205","SATL1","None","spermidine/spermine N1-acetyl transferase like 1","None","ENSG00000184788","None","0.00199478","0.0233139","1.0","By_ingredient","0.233"
"SMTT10247","SDR16C5","None","short chain dehydrogenase/reductase family 16C member 5","None","ENSG00000170786","None","0.00746151","0.0425888","1.0","By_ingredient","0.1937"
"SMTT10283","SEMA3F","None","semaphorin 3F","None","ENSG00000001617","None","0.0024929","0.0264257","1.0","By_ingredient","0.2038"
"SMTT10284","SEMA3G","None","semaphorin 3G","None","ENSG00000010319","None","0.0029908","0.0293845","1.0","By_ingredient","0.2053"
"SMTT10285","SEMA4B","None","semaphorin 4B","None","ENSG00000185033","None","0.0024929","0.0264257","1.0","By_ingredient","0.2296"
"SMTT10286","SEMA4C","None","semaphorin 4C","None","ENSG00000168758","None","0.00199478","0.0233139","1.0","By_ingredient","0.2235"
"SMTT10287","SEMA4D","None","semaphorin 4D","None","ENSG00000187764","None","0.0024929","0.0264257","1.0","By_ingredient","0.2265"
"SMTT10288","SEMA4F","None","ssemaphorin 4F","None","ENSG00000135622","None","0.00199478","0.0233139","1.0","By_ingredient","0.2221"
"SMTT10289","SEMA4G","None","semaphorin 4G","None","ENSG00000095539","None","0.0029908","0.0293845","1.0","By_ingredient","0.2115"
"SMTT10290","SEMA5B","None","semaphorin 5B","None","ENSG00000082684","None","0.00199478","0.0233139","1.0","By_ingredient","0.231"
"SMTT10291","SEMA6A","None","semaphorin 6A","None","ENSG00000092421","None","0.0024929","0.0264257","1.0","By_ingredient","0.223"
"SMTT10292","SEMA6C","None","semaphorin 6C","None","ENSG00000143434","None","0.00199478","0.0233139","1.0","By_ingredient","0.2233"
"SMTT10293","SEMA6D","None","semaphorin 6D","None","ENSG00000137872","None","0.00199478","0.0233139","1.0","By_ingredient","0.2287"
"SMTT10294","SEMA7A","None","semaphorin 7A (John Milton Hagen blood group)","None","ENSG00000138623","None","0.00199478","0.0233139","1.0","By_ingredient","0.2342"
"SMTT10306","SERPINA10","None","serpin family A member 10","None","ENSG00000140093","None","0.00597333","0.0388881","1.0","By_ingredient","0.203"
"SMTT10311","SERPINA5","None","serpin family A member 5","None","ENSG00000188488","None","0.00448309","0.0346571","1.0","By_ingredient","0.2021"
"SMTT10355","SFTPA1","None","surfactant protein A1","None","ENSG00000122852","None","0.00348846","0.0315771","1.0","By_ingredient","0.2316"
"SMTT10372","SH3BGRL","None","SH3 domain binding glutamate rich protein like","None","ENSG00000131171","None","0.0029908","0.0293845","1.0","By_ingredient","0.2202"
"SMTT10395","SHMT1","None","serine hydroxymethyltransferase 1","None","ENSG00000176974","None","0.00746151","0.0425888","1.0","By_ingredient","0.1838"
"SMTT10396","SHMT2","None","serine hydroxymethyltransferase 2","None","ENSG00000182199","None","0.00696568","0.041413","1.0","By_ingredient","0.213"
"SMTT10407","SIK2","None","salt inducible kinase 2","None","ENSG00000170145","None","0.00049904","0.009989","1.0","By_ingredient","0.252"
"SMTT10408","SIK3","None","SIK family kinase 3","None","ENSG00000160584","None","0.00149643","0.0199814","1.0","By_ingredient","0.2566"
"SMTT10425","SLA2","None","Src like adaptor 2","None","ENSG00000101082","None","0.00348846","0.0315771","1.0","By_ingredient","0.2454"
"SMTT10438","SLC13A1","None","solute carrier family 13 member 1","None","ENSG00000081800","None","0.00049904","0.009989","1.0","By_ingredient","0.2547"
"SMTT10439","SLC13A2","None","solute carrier family 13 member 2","None","ENSG00000007216","None","0.000997851","0.015591","1.0","By_ingredient","0.2359"
"SMTT10440","SLC13A3","None","solute carrier family 13 member 3","None","ENSG00000158296","None","0.00049904","0.009989","1.0","By_ingredient","0.2284"
"SMTT10441","SLC13A4","None","solute carrier family 13 member 4","None","ENSG00000164707","None","0.00049904","0.009989","1.0","By_ingredient","0.2626"
"SMTT10483","SLC25A10","None","solute carrier family 25 member 10","None","ENSG00000183048","None","0.00348846","0.0315771","1.0","By_ingredient","0.1892"
"SMTT10540","SLC35G3","None","solute carrier family 35 member G3","None","ENSG00000164729","None","0.000997851","0.015591","1.0","By_ingredient","0.2676"
"SMTT10674","SND1","None","staphylococcal nuclease and tudor domain containing 1","None","ENSG00000197157","None","0.00149643","0.0199814","1.0","By_ingredient","0.251"
"SMTT10688","SNRPD3","None","small nuclear ribonucleoprotein D3 polypeptide","None","ENSG00000100028","None","0.0024929","0.0264257","1.0","By_ingredient","0.2357"
"SMTT10692","SNU13","None","small nuclear ribonucleoprotein 13","None","ENSG00000100138","None","0.00348846","0.0315771","1.0","By_ingredient","0.2343"
"SMTT10704","SNX27","None","sorting nexin family member 27","None","ENSG00000143376","None","0.00149643","0.0199814","1.0","By_ingredient","0.2392"
"SMTT10746","SPAG6","None","sperm associated antigen 6","None","ENSG00000077327","None","0.00049904","0.009989","1.0","By_ingredient","0.2418"
"SMTT10811","SRPRA","None","SRP receptor alpha subunit","None","ENSG00000182934","None","0.00199478","0.0233139","1.0","By_ingredient","0.2268"
"SMTT10829","SSH1","None","slingshot protein phosphatase 1","None","ENSG00000084112","None","0.00149643","0.0199814","1.0","By_ingredient","0.233"
"SMTT10830","SSH2","None","slingshot protein phosphatase 2","None","ENSG00000141298","None","0.00149643","0.0199814","1.0","By_ingredient","0.2212"
"SMTT10831","SSH3","None","slingshot protein phosphatase 3","None","ENSG00000172830","None","0.00149643","0.0199814","1.0","By_ingredient","0.2267"
"SMTT10875","STAU1","None","staufen double-stranded RNA binding protein 1","None","ENSG00000124214","None","0.00049904","0.009989","1.0","By_ingredient","0.254"
"SMTT10919","STYX","None","serine/threonine/tyrosine interacting protein","None","ENSG00000198252","None","0.00199478","0.0233139","1.0","By_ingredient","0.2397"
"SMTT10920","STYXL1","None","serine/threonine/tyrosine interacting like 1","None","ENSG00000127952","None","0.0029908","0.0293845","1.0","By_ingredient","0.224"
"SMTT10954","SVEP1","None","sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1","None","ENSG00000165124","None","0.0029908","0.0293845","1.0","By_ingredient","0.2197"
"SMTT11054","TATDN1","None","TatD DNase domain containing 1","None","ENSG00000147687","None","0.000997851","0.015591","1.0","By_ingredient","0.2158"
"SMTT11055","TATDN2","None","TatD DNase domain containing 2","None","ENSG00000157014","None","0.00149643","0.0199814","1.0","By_ingredient","0.2267"
"SMTT11056","TATDN3","None","TatD DNase domain containing 3","None","ENSG00000203705","None","0.000997851","0.015591","1.0","By_ingredient","0.2338"
"SMTT11160","THTPA","None","thiamine triphosphatase","None","ENSG00000259431","None","0.000997851","0.015591","1.0","By_ingredient","0.2385"
"SMTT11313","TMX3","None","thioredoxin related transmembrane protein 3","None","ENSG00000166479","None","0.00348846","0.0315771","1.0","By_ingredient","0.2153"
"SMTT11326","TNFSF13B","None","TNF superfamily member 13b","None","ENSG00000102524","None","0.0024929","0.0264257","1.0","By_ingredient","0.235"
"SMTT11340","TNS1","None","tensin 1","None","ENSG00000079308","None","0.00448309","0.0346571","1.0","By_ingredient","0.2267"
"SMTT11342","TNS3","None","tensin 3","None","ENSG00000136205","None","0.00199478","0.0233139","1.0","By_ingredient","0.2267"
"SMTT11371","TPBG","None","trophoblast glycoprotein","None","ENSG00000146242","None","0.00348846","0.0315771","1.0","By_ingredient","0.199"
"SMTT11415","TRDMT1","None","tRNA aspartic acid methyltransferase 1","None","ENSG00000107614","None","0.00149643","0.0199814","1.0","By_ingredient","0.207"
"SMTT11479","TRMT9B","None","tRNA methyltransferase 9B (putative)","None","ENSG00000250305","None","0.00199478","0.0233139","1.0","By_ingredient","0.234"
"SMTT11577","TXNDC11","None","thioredoxin domain containing 11","None","ENSG00000153066","None","0.0029908","0.0293845","1.0","By_ingredient","0.2313"
"SMTT11580","TXNDC16","None","thioredoxin domain containing 16","None","ENSG00000087301","None","0.00348846","0.0315771","1.0","By_ingredient","0.2091"
"SMTT11581","TXNDC2","None","thioredoxin domain containing 2","None","ENSG00000168454","None","0.0029908","0.0293845","1.0","By_ingredient","0.2124"
"SMTT11582","TXNDC5","None","thioredoxin domain containing 5","None","ENSG00000239264","None","0.0029908","0.0293845","1.0","By_ingredient","0.2169"
"SMTT11583","TXNDC8","None","thioredoxin domain containing 8","None","ENSG00000204193","None","0.0029908","0.0293845","1.0","By_ingredient","0.2221"
"SMTT11584","TXNDC9","None","thioredoxin domain containing 9","None","ENSG00000115514","None","0.00398589","0.032859","1.0","By_ingredient","0.235"
"SMTT11597","UBA2","None","ubiquitin like modifier activating enzyme 2","None","ENSG00000126261","None","0.00199478","0.0233139","1.0","By_ingredient","0.2278"
"SMTT11598","UBA3","None","ubiquitin like modifier activating enzyme 3","None","ENSG00000144744","None","0.00149643","0.0199814","1.0","By_ingredient","0.2257"
"SMTT11599","UBA5","None","ubiquitin like modifier activating enzyme 5","None","ENSG00000081307","None","0.00149643","0.0199814","1.0","By_ingredient","0.2446"
"SMTT11601","UBA6","None","ubiquitin like modifier activating enzyme 6","None","ENSG00000033178","None","0.000997851","0.015591","1.0","By_ingredient","0.2383"
"SMTT11602","UBA7","None","ubiquitin like modifier activating enzyme 7","None","ENSG00000182179","None","0.00199478","0.0233139","1.0","By_ingredient","0.2129"
"SMTT11662","UCK2","None","uridine-cytidine kinase 2","None","ENSG00000143179","None","0.00199478","0.0233139","1.0","By_ingredient","0.2379"
"SMTT11665","UEVLD","None","UEV and lactate/malate dehyrogenase domains","None","ENSG00000151116","None","0.00149643","0.0199814","1.0","By_ingredient","0.2234"
"SMTT11727","USP15","None","ubiquitin specific peptidase 15","None","ENSG00000135655","None","0.000997851","0.015591","1.0","By_ingredient","0.2346"
"SMTT11769","VARS1","None","None","None","None","None","0.00199478","0.0233139","1.0","By_ingredient","0.2341"
"SMTT11885","XPNPEP1","None","X-prolyl aminopeptidase 1","None","ENSG00000108039","None","0.00199478","0.0233139","1.0","By_ingredient","0.2154"
"SMTT11886","XPNPEP2","None","X-prolyl aminopeptidase 2","None","ENSG00000122121","None","0.00149643","0.0199814","1.0","By_ingredient","0.2047"
"SMTT11894","XRCC3","None","X-ray repair cross complementing 3","None","ENSG00000126215","None","0.00448309","0.0346571","1.0","By_ingredient","0.2063"
"SMTT11902","YARS1","None","None","None","None","None","0.00498007","0.0360733","1.0","By_ingredient","0.2155"
"SMTT11919","YWHAH","None","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta","None","ENSG00000128245","None","0.00049904","0.009989","1.0","By_ingredient","0.208"
"SMTT12015","ZFYVE1","None","zinc finger FYVE-type containing 1","None","ENSG00000165861","None","0.00149643","0.0199814","1.0","By_ingredient","0.2225"
"SMTT12017","ZFYVE19","None","zinc finger FYVE-type containing 19","None","ENSG00000166140","None","0.00149643","0.0199814","1.0","By_ingredient","0.2325"
"SMTT12485","ZP3","None","zona pellucida glycoprotein 3","None","ENSG00000188372","None","0.000997851","0.015591","1.0","By_ingredient","0.2382"
