Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00010","ABAT","16","4-aminobutyrate Aminotransferase","4-aminobutyrate Aminotransferase, Mitochondrial","ENSG00000183044","P80404","0.0326872","0.0746756","1.0","By_ingredient","0.1982"
"SMTT00122","AGT","1","Angiotensinogen","Angiotensinogen","ENSG00000135744","P01019","0.0181654","0.0589026","1.0","By_ingredient","0.1947"
"SMTT00851","CXCL8","None","C-X-C motif chemokine ligand 8","Interleukin-8","ENSG00000169429","P10145","0.0470178","0.0883544","1.0","By_ingredient","0.4145"
"SMTT01086","ELANE","19","Elastase, Neutrophil Expressed","Neutrophil Elastase","ENSG00000197561","P08246","0.0266317","0.0686275","1.0","By_ingredient","0.198"
"SMTT01348","GATM","15","Glycine Amidinotransferase","Glycine Amidinotransferase, Mitochondrial","ENSG00000171766","P50440","0.0370398","0.0787768","1.0","By_ingredient","0.1957"
"SMTT01712","IL6","7","Interleukin 6","Interleukin-6","ENSG00000136244","P05231","0.0473488","0.0887445","1.0","By_ingredient","0.4337"
"SMTT01979","LPL","8","Lipoprotein Lipase","Lipoprotein Lipase","ENSG00000175445","P06858","0.00860547","0.0448525","1.0","By_ingredient","0.2144"
"SMTT02679","PPARA","None","peroxisome proliferator activated receptor alpha","Peroxisome Proliferator-activated Receptor Alpha","ENSG00000186951","Q07869","0.0205425","0.0619666","1.0","By_ingredient","0.2102"
"SMTT02864","REG1A","None","regenerating family member 1 alpha","Lithostathine-1-alpha","ENSG00000115386","P05451","0.0024162","0.0260044","1.0","By_ingredient","0.2193"
"SMTT03190","SLC6A1","3","Solute Carrier Family 6 Member 1","Sodium- And Chloride-dependent GABA Transporter 1","ENSG00000157103","P30531","0.00276095","0.0280192","1.0","By_ingredient","0.2833"
"SMTT03665","UGT1A1","2","UDP Glucuronosyltransferase Family 1 Member A1","None","ENSG00000241635","None","0.0116873","0.0501417","1.0","By_ingredient","0.2275"
"SMTT03704","VCP","9","Valosin Containing Protein","Transitional Endoplasmic Reticulum ATPase","ENSG00000165280","P55072","0.00172639","0.021945","1.0","By_ingredient","0.2096"
"SMTT04122","MAGI2","7","Membrane Associated Guanylate Kinase, WW And PDZ Domain Containing 2","None","ENSG00000187391","Q86UL8","0.000690873","0.0124904","1.0","By_ingredient","0.2447"
"SMTT04184","UGT1A6","2","UDP Glucuronosyltransferase Family 1 Member A6","None","ENSG00000167165","P19224","0.00860547","0.0448525","1.0","By_ingredient","0.2371"
"SMTT09518","PRSS3","None","serine protease 3","None","ENSG00000010438","None","0.00717607","0.0418385","1.0","By_ingredient","0.3835"
