Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00004","AAAS","12","Aladin WD Repeat Nucleoporin","None","ENSG00000094914","None","0.00395393","0.032859","1.0","By_ingredient","0.1716"
"SMTT00005","AAGAB","15","Alpha And Gamma Adaptin Binding Protein","None","ENSG00000103591","None","0.0118154","0.0501663","1.0","By_ingredient","0.191"
"SMTT00029","ABCD3","1","ATP Binding Cassette Subfamily D Member 3","None","ENSG00000117528","None","0.00789239","0.0435328","1.0","By_ingredient","0.171"
"SMTT00038","ACACA","17","Acetyl-CoA Carboxylase Alpha","Acetyl-CoA Carboxylase 1","ENSG00000278540","Q13085","0.0234926","0.0652382","1.0","By_ingredient","0.1793"
"SMTT00047","ACAT2","6","Acetyl-CoA Acetyltransferase 2","Acetyl-CoA Acetyltransferase, Cytosolic","ENSG00000120437","Q9BWD1","0.0157231","0.0562079","1.0","By_ingredient","0.214"
"SMTT00050","ACE2","None","angiotensin I converting enzyme 2","Angiotensin-converting Enzyme 2","ENSG00000130234","Q9BYF1","0.00183622","0.0110243","1.0","By_ingredient","0.1753"
"SMTT00051","ACHE","None","acetylcholinesterase (Cartwright blood group)","Acetylcholinesterase","ENSG00000087085","P22303","0.0815617","0.105837","1.0","By_ingredient","0.8217"
"SMTT00069","ACVR1","2","Activin A Receptor Type 1","Activin Receptor Type-1","ENSG00000115170","Q04771","0.0118154","0.0501663","1.0","By_ingredient","0.1648"
"SMTT00075","ADAM10","15","ADAM Metallopeptidase Domain 10","Disintegrin And Metalloproteinase Domain-containing Protein 10","ENSG00000137845","O14672","0.0157231","0.0562079","1.0","By_ingredient","0.3032"
"SMTT00098","ADK","10","Adenosine Kinase","Adenosine Kinase","ENSG00000156110","P55263","0.0426516","0.0842538","1.0","By_ingredient","0.1638"
"SMTT00102","ADRA1A","None","adrenoceptor alpha 1A","Alpha-1A Adrenergic Receptor","ENSG00000120907","P35348","0.0826431","0.106871","1.0","By_ingredient","0.3895"
"SMTT00106","ADRB2","None","adrenoceptor beta 2","Beta-2 Adrenergic Receptor","ENSG00000169252","P07550","0.00249916","0.0133881","1.0","By_ingredient","0.8942"
"SMTT00110","AFF4","5","AF4/FMR2 Family Member 4","None","ENSG00000072364","None","0.0234926","0.0652382","1.0","By_ingredient","0.1744"
"SMTT00123","AGTR1","3","Angiotensin II Receptor Type 1","Type-1 Angiotensin II Receptor","ENSG00000144891","P30556","0.00366925","0.0162566","1.0","By_ingredient","0.1893"
"SMTT00129","AHR","None","aryl hydrocarbon receptor","Aryl Hydrocarbon Receptor","ENSG00000106546","P35869","0.0146009","0.0328962","1.0","By_ingredient","0.1475"
"SMTT00139","AKR1B1","None","aldo-keto reductase family 1 member B","Aldose Reductase","ENSG00000085662","P15121","0.00259475","0.0136825","1.0","By_ingredient","0.3376"
"SMTT00142","AKR1C3","None","aldo-keto reductase family 1 member C3","Aldo-keto Reductase Family 1 Member C3","ENSG00000196139","P42330","0.0114832","0.0500184","1.0","By_ingredient","0.3484"
"SMTT00144","AKT1","14","AKT Serine/threonine Kinase 1","RAC-alpha Serine/threonine-protein Kinase","ENSG00000142208","P31749","0.000549302","0.00472388","1.0","By_ingredient","0.4181"
"SMTT00153","ALDH2","12","Aldehyde Dehydrogenase 2 Family Member","Aldehyde Dehydrogenase, Mitochondrial","ENSG00000111275","P05091","0.0155067","0.0339576","1.0","By_ingredient","0.247"
"SMTT00169","ALG6","1","ALG6, Alpha-1,3-glucosyltransferase","None","ENSG00000088035","None","0.00789239","0.0435328","1.0","By_ingredient","0.1754"
"SMTT00170","ALG8","11","ALG8, Alpha-1,3-glucosyltransferase","None","ENSG00000159063","None","0.00395393","0.032859","1.0","By_ingredient","0.1928"
"SMTT00178","ALS2","2","ALS2, Alsin Rho Guanine Nucleotide Exchange Factor","None","ENSG00000003393","None","0.0234926","0.0652382","1.0","By_ingredient","0.1859"
"SMTT00184","AMD1","None","adenosylmethionine decarboxylase 1","S-adenosylmethionine Decarboxylase Proenzyme","ENSG00000123505","P17707","0.0350331","0.0765798","1.0","By_ingredient","0.1759"
"SMTT00189","AMMECR1","X","Alport Syndrome, Mental Retardation, Midface Hypoplasia And Elliptocytosis Chromosomal Region Gene 1","None","ENSG00000101935","None","0.00789239","0.0435328","1.0","By_ingredient","0.1986"
"SMTT00207","ANLN","7","Anillin Actin Binding Protein","None","ENSG00000011426","None","0.0196154","0.0606357","1.0","By_ingredient","0.1869"
"SMTT00211","ANO6","12","Anoctamin 6","None","ENSG00000177119","None","0.0234926","0.0652382","1.0","By_ingredient","0.1814"
"SMTT00219","AP2S1","19","Adaptor Related Protein Complex 2 Sigma 1 Subunit","None","ENSG00000042753","None","0.0157231","0.0562079","1.0","By_ingredient","0.186"
"SMTT00227","APC","5","APC, WNT Signaling Pathway Regulator","None","ENSG00000134982","None","0.00789239","0.0435328","1.0","By_ingredient","0.1642"
"SMTT00230","APOA1","11","Apolipoprotein A1","Apolipoprotein A-I","ENSG00000118137","P02647","0.00275313","0.0141089","1.0","By_ingredient","0.1852"
"SMTT00232","APOB","2","Apolipoprotein B","None","ENSG00000084674","None","0.00458458","0.0182643","1.0","By_ingredient","0.1749"
"SMTT00235","APOD","None","apolipoprotein D","Apolipoprotein D","ENSG00000189058","P05090","0.0196154","0.0606357","1.0","By_ingredient","0.1587"
