Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT06913","GNPDA2","None","glucosamine-6-phosphate deaminase 2","None","ENSG00000163281","None","0.00735263","0.0421606","1.0","By_ingredient","0.2038"
"SMTT06914","GNPNAT1","None","glucosamine-phosphate N-acetyltransferase 1","None","ENSG00000100522","None","0.00979166","0.0471444","1.0","By_ingredient","0.1962"
"SMTT06941","GPCPD1","None","glycerophosphocholine phosphodiesterase 1","None","ENSG00000125772","None","0.014652","0.0546754","1.0","By_ingredient","0.192"
"SMTT06942","GPER1","None","G protein-coupled estrogen receptor 1","None","ENSG00000164850","None","0.0480233","0.0890106","1.0","By_ingredient","0.1998"
"SMTT07010","GREM1","None","gremlin 1, DAN family BMP antagonist","None","ENSG00000166923","None","0.014652","0.0546754","1.0","By_ingredient","0.1862"
"SMTT07011","GREM2","None","gremlin 2, DAN family BMP antagonist","None","ENSG00000180875","None","0.00735263","0.0421606","1.0","By_ingredient","0.2018"
"SMTT07053","GSTT2","None","glutathione S-transferase theta 2 (gene/pseudogene)","None","ENSG00000099984","None","0.0122248","0.0506489","1.0","By_ingredient","0.2025"
"SMTT07054","GSTT2B","None","glutathione S-transferase theta 2B (gene/pseudogene)","None","ENSG00000133433","None","0.00979166","0.0471444","1.0","By_ingredient","0.2112"
"SMTT07055","GSTZ1","None","glutathione S-transferase zeta 1","None","ENSG00000100577","None","0.0243024","0.0660284","1.0","By_ingredient","0.2019"
"SMTT07149","HDHD2","None","haloacid dehalogenase like hydrolase domain containing 2","None","ENSG00000167220","None","0.00490769","0.0356932","1.0","By_ingredient","0.1939"
"SMTT07151","HDHD5","None","haloacid dehalogenase like hydrolase domain containing 5","None","ENSG00000069998","None","0.00490769","0.0356932","1.0","By_ingredient","0.2278"
"SMTT07165","HEPH","None","hephaestin","None","ENSG00000089472","None","0.0170734","0.0581309","1.0","By_ingredient","0.1974"
"SMTT07166","HEPHL1","None","hephaestin like 1","None","ENSG00000181333","None","0.014652","0.0546754","1.0","By_ingredient","0.1889"
"SMTT07181","HGS","None","hepatocyte growth factor-regulated tyrosine kinase substrate","None","ENSG00000185359","None","0.00490769","0.0356932","1.0","By_ingredient","0.2086"
"SMTT07222","HMGCLL1","None","3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1","None","ENSG00000146151","None","0.0122248","0.0506489","1.0","By_ingredient","0.2007"
"SMTT07246","HOMER1","None","homer scaffold protein 1","None","ENSG00000152413","None","0.0122248","0.0506489","1.0","By_ingredient","0.1738"
"SMTT07247","HOMER2","None","homer scaffold protein 2","None","ENSG00000103942","None","0.00735263","0.0421606","1.0","By_ingredient","0.1879"
"SMTT07279","HSD11B1L","None","hydroxysteroid 11-beta dehydrogenase 1 like","None","ENSG00000167733","None","0.0362347","0.0778214","1.0","By_ingredient","0.1688"
"SMTT07281","HSD17B11","None","hydroxysteroid 17-beta dehydrogenase 11","None","ENSG00000198189","None","0.0386039","0.080027","1.0","By_ingredient","0.1663"
"SMTT07283","HSD17B14","None","hydroxysteroid 17-beta dehydrogenase 14","None","ENSG00000087076","None","0.0362347","0.0778214","1.0","By_ingredient","0.1657"
"SMTT07287","HSDL2","None","hydroxysteroid dehydrogenase like 2","None","ENSG00000119471","None","0.0338598","0.0756651","1.0","By_ingredient","0.1651"
"SMTT07339","IDH3A","None","isocitrate dehydrogenase 3 (NAD(+)) alpha","None","ENSG00000166411","None","0.00735263","0.0421606","1.0","By_ingredient","0.1783"
"SMTT07340","IDH3G","None","isocitrate dehydrogenase 3 (NAD(+)) gamma","None","ENSG00000067829","None","0.014652","0.0546754","1.0","By_ingredient","0.1782"
"SMTT07348","IFFO2","None","intermediate filament family orphan 2","None","ENSG00000169991","None","0.0170734","0.0581309","1.0","By_ingredient","0.1849"
"SMTT07389","IGFN1","None","immunoglobulin-like and fibronectin type III domain containing 1","None","ENSG00000163395","None","0.00245681","0.026213","1.0","By_ingredient","0.2076"
"SMTT07392","IGSF22","None","immunoglobulin superfamily member 22","None","ENSG00000179057","None","0.00245681","0.026213","1.0","By_ingredient","0.2204"
"SMTT07419","IL25","None","interleukin 25","None","ENSG00000166090","None","0.00245681","0.026213","1.0","By_ingredient","0.2176"
"SMTT07423","IL33","None","interleukin 33","None","ENSG00000137033","None","0.00490769","0.0356932","1.0","By_ingredient","0.2186"
"SMTT07427","IL4I1","None","interleukin 4 induced 1","None","ENSG00000104951","None","0.0243024","0.0660284","1.0","By_ingredient","0.1911"
"SMTT07446","IMPDH2","None","inosine monophosphate dehydrogenase 2","None","ENSG00000178035","None","0.0170734","0.0581309","1.0","By_ingredient","0.1852"
"SMTT07453","INHA","None","inhibin alpha subunit","None","ENSG00000123999","None","0.00979166","0.0471444","1.0","By_ingredient","0.209"
"SMTT07454","INHBA","None","inhibin beta A subunit","None","ENSG00000122641","None","0.00735263","0.0421606","1.0","By_ingredient","0.1701"
"SMTT07455","INHBB","None","inhibin beta B subunit","None","ENSG00000163083","None","0.00490769","0.0356932","1.0","By_ingredient","0.1994"
"SMTT07456","INHBC","None","inhibin beta C subunit","None","ENSG00000175189","None","0.00245681","0.026213","1.0","By_ingredient","0.1835"
"SMTT07457","INHBE","None","inhibin beta E subunit","None","ENSG00000139269","None","0.00735263","0.0421606","1.0","By_ingredient","0.1764"
"SMTT07475","INTS11","None","integrator complex subunit 11","None","ENSG00000127054","None","0.00245681","0.026213","1.0","By_ingredient","0.2211"
"SMTT07480","INTS9","None","integrator complex subunit 9","None","ENSG00000104299","None","0.00245681","0.026213","1.0","By_ingredient","0.2134"
"SMTT07492","IPPK","None","inositol-pentakisphosphate 2-kinase","None","ENSG00000127080","None","0.00490769","0.0356932","1.0","By_ingredient","0.2108"
"SMTT07504","IREB2","None","iron responsive element binding protein 2","None","ENSG00000136381","None","0.00245681","0.026213","1.0","By_ingredient","0.1954"
"SMTT07584","KCNAB1","None","potassium voltage-gated channel subfamily A member regulatory beta subunit 1","None","ENSG00000169282","None","0.00735263","0.0421606","1.0","By_ingredient","0.1971"
"SMTT07585","KCNAB3","None","potassium voltage-gated channel subfamily A regulatory beta subunit 3","None","ENSG00000170049","None","0.00735263","0.0421606","1.0","By_ingredient","0.1981"
"SMTT07634","KDM1B","None","lysine demethylase 1B","None","ENSG00000165097","None","0.0170734","0.0581309","1.0","By_ingredient","0.1794"
"SMTT07648","KEL","None","Kell blood group, metallo-endopeptidase","None","ENSG00000197993","None","0.00245681","0.026213","1.0","By_ingredient","0.2191"
"SMTT07735","KLRB1","None","killer cell lectin like receptor B1","None","ENSG00000111796","None","0.0122248","0.0506489","1.0","By_ingredient","0.2049"
"SMTT07738","KLRD1","None","killer cell lectin like receptor D1","None","ENSG00000134539","None","0.0122248","0.0506489","1.0","By_ingredient","0.211"
"SMTT07739","KLRF2","None","killer cell lectin like receptor F2","None","ENSG00000256797","None","0.014652","0.0546754","1.0","By_ingredient","0.1956"
"SMTT07740","KLRG1","None","killer cell lectin like receptor G1","None","ENSG00000139187","None","0.0122248","0.0506489","1.0","By_ingredient","0.1927"
"SMTT07741","KLRG2","None","killer cell lectin like receptor G2","None","ENSG00000188883","None","0.014652","0.0546754","1.0","By_ingredient","0.2016"
"SMTT07742","KLRK1","None","killer cell lectin like receptor K1","None","ENSG00000213809","None","0.0194889","0.0604666","1.0","By_ingredient","0.1898"
"SMTT07753","KPNA1","None","karyopherin subunit alpha 1","None","ENSG00000114030","None","0.00979166","0.0471444","1.0","By_ingredient","0.1853"
"SMTT07754","KPNA2","None","karyopherin subunit alpha 2","None","ENSG00000182481","None","0.0122248","0.0506489","1.0","By_ingredient","0.1658"
"SMTT07755","KPNA3","None","karyopherin subunit alpha 3","None","ENSG00000102753","None","0.0170734","0.0581309","1.0","By_ingredient","0.1705"
"SMTT07756","KPNA4","None","karyopherin subunit alpha 4","None","ENSG00000186432","None","0.0122248","0.0506489","1.0","By_ingredient","0.1806"
"SMTT07757","KPNA5","None","karyopherin subunit alpha 5","None","ENSG00000196911","None","0.00245681","0.026213","1.0","By_ingredient","0.1959"
"SMTT07758","KPNA6","None","karyopherin subunit alpha 6","None","ENSG00000025800","None","0.00245681","0.026213","1.0","By_ingredient","0.2011"
"SMTT07759","KPNA7","None","karyopherin subunit alpha 7","None","ENSG00000185467","None","0.00245681","0.026213","1.0","By_ingredient","0.2238"
"SMTT07786","L3HYPDH","None","trans-L-3-hydroxyproline dehydratase","None","ENSG00000126790","None","0.00735263","0.0421606","1.0","By_ingredient","0.1974"
"SMTT07788","LACTB","None","lactamase beta","None","ENSG00000103642","None","0.014652","0.0546754","1.0","By_ingredient","0.1921"
"SMTT07790","LACTBL1","None","lactamase beta like 1","None","ENSG00000215906","None","0.00735263","0.0421606","1.0","By_ingredient","0.1961"
"SMTT07813","LASP1","None","LIM and SH3 protein 1","None","ENSG00000002834","None","0.00245681","0.026213","1.0","By_ingredient","0.2093"
"SMTT07819","LCMT1","None","leucine carboxyl methyltransferase 1","None","ENSG00000205629","None","0.0122248","0.0506489","1.0","By_ingredient","0.1898"
"SMTT07820","LCMT2","None","leucine carboxyl methyltransferase 2","None","ENSG00000168806","None","0.0218986","0.0637567","1.0","By_ingredient","0.1851"
"SMTT07830","LDHAL6A","None","lactate dehydrogenase A like 6A","None","ENSG00000166800","None","0.00979166","0.0471444","1.0","By_ingredient","0.2038"
